bin start		omega	        hist_DD	        hist_DR	        hist_RR
48.750	      -0.090421	       37390340	       38575212	       36463066
49.000	      -0.092296	       36894292	       38288635	       36329870
49.250	      -0.096955	       36360258	       38025414	       36182496
49.500	      -0.105901	       35684220	       37763358	       36027186
49.750	      -0.110333	       35068816	       37467944	       35905502
50.000	      -0.111861	       34656416	       37198856	       35743054
50.250	      -0.117681	       34196090	       36969936	       35559146
50.500	      -0.123395	       33742380	       36756246	       35401708
50.750	      -0.128591	       33275408	       36531258	       35253792
51.000	      -0.128439	       32902832	       36253165	       35095840
51.250	      -0.126513	       32597180	       35959876	       34906450
51.500	      -0.127128	       32361250	       35759986	       34742044
51.750	      -0.127399	       31941608	       35467755	       34587504
52.000	      -0.125406	       31590820	       35175302	       34440706
52.250	      -0.130334	       31177432	       34962213	       34279238
52.500	      -0.137622	       30668702	       34721706	       34083992
52.750	      -0.142679	       30201578	       34479555	       33918130
53.000	      -0.147050	       29764208	       34242587	       33757002
53.250	      -0.148483	       29405368	       33974802	       33561008
53.500	      -0.154390	       28933858	       33733489	       33379642
53.750	      -0.161883	       28476418	       33525030	       33199236
54.000	      -0.163968	       28164340	       33311290	       33040620
54.250	      -0.167648	       27793812	       33079970	       32857602
54.500	      -0.168559	       27498872	       32835095	       32665290
54.750	      -0.173696	       27007998	       32546276	       32448392
55.000	      -0.180281	       26468376	       32286651	       32284616
55.250	      -0.182027	       25944778	       31957870	       32123608
55.500	      -0.183699	       25459454	       31614059	       31907326
55.750	      -0.182288	       25106782	       31324215	       31753390
56.000	      -0.186269	       24674124	       31057208	       31561374
56.250	      -0.193186	       24231326	       30821339	       31354172
56.500	      -0.194980	       23774024	       30514965	       31177020
56.750	      -0.199060	       23284400	       30228373	       31001228
57.000	      -0.201727	       22859952	       29940493	       30806528
57.250	      -0.204808	       22460644	       29677445	       30622502
57.500	      -0.208261	       22068446	       29394170	       30390694
57.750	      -0.210803	       21732874	       29133323	       30173174
58.000	      -0.211919	       21390556	       28850702	       29961440
58.250	      -0.216085	       21026674	       28588952	       29727544
58.500	      -0.210508	       20788814	       28262495	       29521634
58.750	      -0.206451	       20491606	       27938216	       29329688
59.000	      -0.206670	       20173340	       27654621	       29118064
59.250	      -0.205356	       19862316	       27332267	       28872968
59.500	      -0.205503	       19608928	       27089225	       28676428
59.750	      -0.206857	       19341682	       26847057	       28464368
60.000	      -0.208533	       19015458	       26584895	       28260976
60.250	      -0.211093	       18665888	       26316652	       28046912
60.500	      -0.215277	       18295462	       26072210	       27852864
60.750	      -0.213379	       18050708	       25807916	       27662532
61.000	      -0.210257	       17812218	       25523401	       27460756
61.250	      -0.209429	       17576170	       25273823	       27262024
61.500	      -0.209297	       17332234	       25024176	       27053842
61.750	      -0.208913	       17114148	       24794047	       26862104
62.000	      -0.211692	       16881488	       24577238	       26634642
62.250	      -0.211546	       16624852	       24336959	       26453024
62.500	      -0.216775	       16279494	       24106611	       26244558
62.750	      -0.222380	       15888168	       23842529	       26012288
63.000	      -0.218325	       15697454	       23571920	       25811158
63.250	      -0.211625	       15590272	       23299969	       25593442
63.500	      -0.212445	       15339708	       23058637	       25384708
63.750	      -0.213821	       15047154	       22815770	       25196782
64.000	      -0.216348	       14804012	       22595892	       24982788
64.250	      -0.217019	       14521932	       22344392	       24787498
64.500	      -0.215505	       14353434	       22099947	       24554772
64.750	      -0.218808	       14122188	       21884550	       24324504
65.000	      -0.221354	       13877016	       21665707	       24116178
65.250	      -0.227040	       13612200	       21464335	       23892024
65.500	      -0.230556	       13359562	       21253627	       23686596
65.750	      -0.232619	       13150298	       21031157	       23455754
66.000	      -0.230818	       12929006	       20764520	       23236598
66.250	      -0.233722	       12700352	       20524326	       22977862
66.500	      -0.235585	       12457334	       20269719	       22727772
